abbiegen	turn off
wäschen	to wash
waschmaschine	washing machine
waschmittel	Detergent
wasdenn	what if
wasser	water
weber	weaver
website	website
wechselgeld	change or exchange money
wechseln	change
weck	Wake-up call
wecken	wake up
wecker	Alarm clock
weder	Neither
weggefahren	Driven away
wegwerfen	Dispose of, throw away
wehtun	to blow (in a gentle manner)
weiblich	Feminine
weiblichweich	Feminine softness
weich	Soft
weigern	refuse
weihnachten	Christmas
weil	because
wein	wine
weinen	to cry
weise	Wise
weisen	indicate
weiß	white
weißen	whiten
weisung	Instruction
weit	wide
weiter	further
weiterbildung	Continuing education
weiterhin	continuously, still
weitweiter	Widespread
welchenr	which one
welcher	which
welt	world
weltkrieg	World War
weltmeister	World Champion
weltreise	World trip
weltweit	worldwide
wenden	turn
wenig	little, few
weniger	fewer
wenigstens	at least
wenn	if
wennwerdi	when we were
werbung	Advertising or Recruitment
werden	will be, become
werfen	to throw
werk	work
werkstatt	Workshop
werkzeug	Tool
wert	value
wertlos	Worthless
wertvoll	valuable
weshalb	why
weshalbwed	What's the reason why?
westen	west
wett	bet
wettbewerb	Competition
wetten	bet
wetter	weather
wetterbericht	Weather report
wettervorhersage	Weather forecast
wichtig	important
wichtigste	most important
widersprechen	contradict
wieder	again
wiederfinden	to find again
wiederholen	repeat
wiederholung	Repetition
wiederkommen	return again
wiedersehe	see again
wiegen	to weigh
wien	Vienna
wiese	meadow
wild	fierce, savage, untamed, or simply "wild" can be used in some contexts
willen	will
willkommen	Welcome
willst	wilt
wind	wind
windig	windy
winken	wink
winter	winter
winterschuhe	Winter boots
wirf	throw
wirken	to have an effect or influence
wirklich	really
wirklichkeit	Reality
wirkung	Effect
wirspazier	We stroll around
wirst	will
wirt	host
wirtin	Hostess
wirtschaft	economy
wischen	wipe
wissen	to know
wissenschaft	science
wissenschaftler	scientist
wissenschaftlerin	scientist (female) or woman scientist
witz	wit
witze	jokes
woche	week
wochenende	weekend
wochenendewegfahr	Weekend getaway
woher	wherefrom
woherwohind	Wherefromwhither
wohin	where
wohl	well, good
wohnen	to live
wöhnen	to reside
wohnflächevon	Living area
wohngeld	Housing allowance
wohnort	place of residence
wohnortein	Residence area
wohnsitz	Residence
wohnst	dwellest
wohnung	apartment
wohnungsangebot	Housing offer or Housing proposal
wohnungseinbrüche	Break-ins into dwellings
wohnungstür	flat door
wohnzimmer	Living room
wolke	cloud
wolle	wool
wollen	want
womit	with which
wort	word
worten	words
wörterbuch	dictionary
wortschatz	Vocabulary
worüber	about which
worum	about what
wunde	wound
wunder	wonder
wunderbar	wonderful
wunderen	to wonder
wundern	to wonder
wunderschön	beautifully wonderful
wunsch	wish
wünschen	wish
wünschsen	wished
wurst	Sausage
würstchen	Sausage (small) or little sausage
würzburg	Würzburg
würzen	season
wusch	washed
wussen	knew
wütend	Angry
york	Yorkshire
zahl	number
zahlen	pay
zählen	to count
zahlreich	numerous
zahlung	payment
zahn	tooth
zahnarzt	dentist
zahnarzttermin	Dentist appointment
zahnbürste	Toothbrush
zahncrem	toothpaste
zahncreme	Toothpaste
zahnschmerz	Toothache
zange	pincers
zehn	ten
zeichen	sign
zeichnen	to draw
zeichnung	Drawing
zeig	show
zeigen	show
zeile	row
zeit	time
zeitpunkt	Point in time
zeitschrift	Magazine
zeitung	newspaper
zeitungslade	Newspaper rack
zelt	tent
zelten	camping
zeltet	camped
zeltlager	Camping trip or Scout camp
zentimeter	centimetre
zentral	central
zentrum	centre
zerstören	destroy
zertifikat	Certificate
zettel	note
zeug	Evidence
zeuge	Witness
zeugin	Witness
zeugnis	Certificate
zieh	pull
ziehen	to draw or pull
ziehsen	to pull or haul
ziel	goal
ziemlich	Quite, fairly, rather
zigarette	cigarette
zimmer	room
zimmerpreis	Room rate
zins	interest
zirkus	circus
zitrone	Lemon
zivilstand	marital status
zlich	Unusual
znüni	Sunday
zogum	Gum arabic
zoll	duty
zone	area
zubeginnen	to begin with
zubereiten	to prepare
zubereitet	Prepared
zucker	sugar
zuckerda	sugar candy
zueinand	together
zuerst	first
zufall	chance
zufällig	Randomly or by chance
zufrieden	Satisfied
zufuß	on foot
zugang	Access
zugänglich	Accessible
zugehen	to approach
zugenom	acquired
zugfahren	to travel by train
zugrestaurant	Railway restaurant or Railway dining car
zugspitze	Zugspitze translates to Zugspitze is a proper noun and its translation can vary depending on context. However, in general, it refers to a mountain peak in Germany.
zuhause	at home
zuhausn	at home
zuhören	listen
zuhörer	listener
zuhörerin	Listener or listener (female)
zuhörerinnen	Female listeners
zukunft	future
zukünftig	future
zuletzt	Finally, lastly, most recently
zumachen	to shut or close
zumbahnhof	Zoo station
zumfrühstück	breakfast
zumgeburtstag	Birthday
zumindest	at least
zunächst	Initially
zunächstich	Initially
zünder	igniter
zünderzunehm	Ignition increase
zündholz	Match
zündhölzer	Matchsticks
zunehmen	to increase
zung	tongue
zurecht	rightly, correctly
zurechtkommen	Get by, manage, cope
zurück	back
zurückfahren	Return home
zurückgeben	return
zurückgekommen	Returned
zurückkommen	to come back
zurückrufen	recall
zurzeit	at present
zusagen	to agree
zusammen	together
zusammenarbeit	Cooperation
zusammenesse	Together
zusammenfassen	summarize
zusammengefasst	summarized
zusammenhang	relationship
zusätzlich	in addition
zuschauen	watch on
zuschauer	spectator
zuschauerin	spectator, female viewer
zuschicken	forward
zuschlag	Surcharge
zusehen	to watch out for
zustand	state
zuständig	Responsible
zustimmen	to agree
zustimmend	Agreeing
zustimmung	Agreement
zutat	Ingredient
zuverlässig	Reliable
zuverlässigdas	Reliable
zuzuhören	to listen in
zvieri	quadrivium
zvierije	Animals
zwanzig	twenty
zwar	Although, even though
zwarich	Although
zweck	purpose
zwei	two
zweifel	doubt
zweifeln	to doubt
zweimal	twice
zweiteein	Secondhand
zweiter	second
zweitsprache	Second language
zweizimmerwohnung	Two-room apartment
zwiebel	Onion
zwing	compel
zwingen	force, compel, coerce
zwischen	between
zwischenzu	intermediate
zwölf	twelve
